Jakarta Pusat,Jual Rumah Kondisi Baru Mewah Luas di Jakarta Fasilitas Lengkap 5 Kamar,"Rp 6,5 Miliar","Cempaka Putih, Jakarta Pusat",5,5,2 + 2,LT:  120 m²,LB:  223 m²
Jakarta Pusat,KPR Rumah Akses Mobil Cempaka Putih,Rp 990 JutaRp 1.1 MTurun Rp 110 Jutaan,"Cempaka Putih, Jakarta Pusat",2,2,1,LT:  31 m²,LB:  60 m²
Jakarta Pusat,2 Lantai KPR Siap Huni Kemayoran Lokasi Pinggir Jalan,"Rp 1,7 Miliar","Kemayoran, Jakarta Pusat",2,2,1 + 1,LT:  96 m²,LB:  110 m²
Jakarta Pusat,KPR Rumah Mewah Cempaka Putih,"Rp 3,5 Miliar","Cempaka Putih, Jakarta Pusat",4,4,1 + 1,LT:  92 m²,LB:  172 m²
Jakarta Pusat,Rumah bisa KPR Cempaka Putih,"Rp 1,6 MiliarRp 1.8 MTurun Rp 200 Jutaan","Cempaka Putih, Jakarta Pusat",3,3,1 + 1,LT:  61 m²,LB:  120 m²
Jakarta Pusat,(Kpr) Rumah 2 Lantai Akses Mobil Jakarta,Rp 995 Juta,"Cempaka Putih, Jakarta Pusat",3,3,1 + 1,LT:  27 m²,LB:  75 m²
Jakarta Pusat,Rumah Minimalis Non Carport Jakarta Pusat,Rp 480 Juta,"Cempaka Putih, Jakarta Pusat",2,2,1,LT:  22 m²,LB:  50 m²
Jakarta Pusat,Rumah Siap Huni Percetakan Negara Salemba,"Rp 1,35 Miliar","Cempaka Putih, Jakarta Pusat",4,3,1,LT:  69 m²,LB:  110 m²
Jakarta Pusat,Rumah di Jual 2 LT Jl Lagura Dekat Kuliner Taman Solo Jakarta Pusat,"Rp 1,47 MiliarRp 1.8 MTurun Rp 300 Jutaan","Cempaka Putih, Jakarta Pusat",3,3,1,LT:  42 m²,LB:  72 m²
Jakarta Pusat,Dijual Cepat Rumah di Benhil Cocok untuk Hunian atau Kantor,Rp 13 Miliar,"Bendungan Hilir, Jakarta Pusat",6,4,2 + 2,LT:  520 m²,LB:  348 m²
Jakarta Pusat,Jarang Ada! Rumah Mewah 3 Lantai New Condition Ada Premium Clubhouse,"Rp 6,5 Miliar","Menteng, Jakarta Pusat",5,5,2 + 2,LT:  120 m²,LB:  223 m²
Jakarta Pusat,Sale! Rumah Scandinivian Dekat Radjak Hospital Salemba Jakarta Pusat,"Rp 1,07 Miliar","Salemba, Jakarta Pusat",3,2,1 + 1,LT:  25 m²,LB:  73 m²
Jakarta Pusat,Hunian Minimalis Ala Scandinavia di Percetakan Negara-Jakpus,"Rp 1,29 Miliar","Percetakan Negara, Jakarta Pusat",3,2,1 + 1,LT:  35 m²,LB:  68 m²
Jakarta Pusat,Exlusive Living! Rumah Modern Premium di Cempaka Putih Tengah,"Rp 2,53 Miliar","Cempaka Putih, Jakarta Pusat",3,3,1 + 1,LT:  54 m²,LB:  78 m²
